"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX2788412","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169982","","162.4","1","731040","365520000","cs45","AMPLICON","METAGENOMIC","PCR"
"SRX2788411","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169981","","83.64","1","459305","182258500","cs43","AMPLICON","METAGENOMIC","PCR"
"SRX2788410","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169979","","123.74","1","590287","295143500","cs42","AMPLICON","METAGENOMIC","PCR"
"SRX2788409","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169980","","123.2","1","606844","303422000","cs220","AMPLICON","METAGENOMIC","PCR"
"SRX2788408","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169977","","155.33","1","779604","389802000","cs216","AMPLICON","METAGENOMIC","PCR"
"SRX2788407","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169978","","162.74","1","797975","398987500","cs210","AMPLICON","METAGENOMIC","PCR"
"SRX2788406","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169976","","194.79","1","943109","471554500","cs205","AMPLICON","METAGENOMIC","PCR"
"SRX2788405","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169975","","138.31","1","683391","341695500","cs195","AMPLICON","METAGENOMIC","PCR"
"SRX2788404","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169974","","123.14","1","615493","307746500","cs193","AMPLICON","METAGENOMIC","PCR"
"SRX2788403","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169973","","170.88","1","847217","423608500","cs181","AMPLICON","METAGENOMIC","PCR"
"SRX2788402","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169972","","224.95","1","1107413","553706500","cb79","AMPLICON","METAGENOMIC","PCR"
"SRX2788401","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169971","","238.36","1","1161760","580880000","cs178","AMPLICON","METAGENOMIC","PCR"
"SRX2788400","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169970","","169.88","1","844257","422128500","cs177","AMPLICON","METAGENOMIC","PCR"
"SRX2788399","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169969","","130.37","1","638197","319098500","cs176","AMPLICON","METAGENOMIC","PCR"
"SRX2788398","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169968","","149.2","1","755522","377761000","cs159","AMPLICON","METAGENOMIC","PCR"
"SRX2788397","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169967","","143.63","1","721968","360984000","cs152","AMPLICON","METAGENOMIC","PCR"
"SRX2788396","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169966","","144.64","1","680418","340209000","cs145","AMPLICON","METAGENOMIC","PCR"
"SRX2788395","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169964","","127.63","1","612423","306211500","cs141","AMPLICON","METAGENOMIC","PCR"
"SRX2788394","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169965","","140.28","1","636390","318195000","cs131","AMPLICON","METAGENOMIC","PCR"
"SRX2788393","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169963","","129.58","1","641477","320738500","cs118","AMPLICON","METAGENOMIC","PCR"
"SRX2788392","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169962","","127.18","1","638665","319332500","cb49","AMPLICON","METAGENOMIC","PCR"
"SRX2788391","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169959","","86.03","1","422921","211460500","cb174","AMPLICON","METAGENOMIC","PCR"
"SRX2788390","Amplicon-seq of gut microbiota: Homo Sapiens","human gut metagenome","Illumina MiSeq","National centre for cell science","SRP106586","Small Intestinal And Faecal Microbiota Of Adult Celiac Patients And First-Degree Relatives.","SRS2169961","","218.08","1","1055134","527567000","cb45","AMPLICON","METAGENOMIC","PCR"
