"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX15980943","20298","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667210","","11.65","1","84467","25424567","20298","AMPLICON","METAGENOMIC","PCR"
"SRX15980942","20296","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667209","","18.89","1","135353","40741253","20296","AMPLICON","METAGENOMIC","PCR"
"SRX15980941","20293","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667208","","13.87","1","78826","23726626","20293","AMPLICON","METAGENOMIC","PCR"
"SRX15980940","20290","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667207","","7.97","1","59728","17978128","20290","AMPLICON","METAGENOMIC","PCR"
"SRX15980939","20288","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667206","","5.35","1","37796","11376596","20288","AMPLICON","METAGENOMIC","PCR"
"SRX15980938","20282","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667205","","9.28","1","65449","19700149","20282","AMPLICON","METAGENOMIC","PCR"
"SRX15980937","20277","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667204","","18.96","1","135548","40799948","20277","AMPLICON","METAGENOMIC","PCR"
"SRX15980936","20273","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667203","","15.73","1","109804","33051004","20273","AMPLICON","METAGENOMIC","PCR"
"SRX15980935","20267","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667202","","14.76","1","106765","32136265","20267","AMPLICON","METAGENOMIC","PCR"
"SRX15980934","20264","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667201","","15.85","1","97840","29449840","20264","AMPLICON","METAGENOMIC","PCR"
"SRX15980933","2148","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667200","","1.73","1","8629","2597329","2148","AMPLICON","METAGENOMIC","PCR"
"SRX15980932","20256","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667199","","7.52","1","53798","16193198","20256","AMPLICON","METAGENOMIC","PCR"
"SRX15980931","20255","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667198","","8.44","1","48662","14647262","20255","AMPLICON","METAGENOMIC","PCR"
"SRX15980930","20254","human gut metagenome","Illumina MiSeq","University of Florida","SRP384588","ABIS Cohort Raw Sequencing for Celiac Analysis Raw sequence reads","SRS13667197","","15.96","1","102129","30740829","20254","AMPLICON","METAGENOMIC","PCR"
