"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX1952417","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566435","","115.24","1","327255","183121558","BID7T36","AMPLICON","METAGENOMIC","unspecified"
"SRX1952416","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566434","","122.51","1","349646","195605533","BID7T24","AMPLICON","METAGENOMIC","unspecified"
"SRX1952415","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566433","","186.15","1","523891","294501443","BID7T0","AMPLICON","METAGENOMIC","unspecified"
"SRX1952414","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566432","","101.95","1","279399","154288292","BID6T36","AMPLICON","METAGENOMIC","unspecified"
"SRX1952413","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566431","","101.21","1","284760","158278343","BID6T24","AMPLICON","METAGENOMIC","unspecified"
"SRX1952412","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566430","","116.21","1","325772","181729829","BID6T0","AMPLICON","METAGENOMIC","unspecified"
"SRX1952407","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566428","","102.95","1","280999","156416208","BID3T36","AMPLICON","METAGENOMIC","unspecified"
"SRX1952403","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566426","","198.83","1","561918","313212317","BID3T24","AMPLICON","METAGENOMIC","unspecified"
"SRX1952402","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566425","","154.02","1","430418","242053688","BID3T0","AMPLICON","METAGENOMIC","unspecified"
"SRX1952401","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566424","","104.95","1","284995","159199008","BID2T36","AMPLICON","METAGENOMIC","unspecified"
"SRX1952400","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566423","","163.5","1","465129","260938375","BID2T24","AMPLICON","METAGENOMIC","unspecified"
"SRX1952379","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566419","","239.82","1","677610","378445094","BID2T0","AMPLICON","METAGENOMIC","unspecified"
"SRX1952378","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566418","","104.19","1","292203","162934582","BID1T36","AMPLICON","METAGENOMIC","unspecified"
"SRX1952373","Changes in mucosal gut microbiota of human volunteers with Coeliac Disease following experimental hookworm infection and consecutive gluten challenges","human gut metagenome","Illumina MiSeq","University of Cambridge","SRP078558","Changes in duodenal tissue-associated microbiota following hookworm infection and consecutive gluten challenges in humans with coeliac disease","SRS1566414","","190.96","1","552572","302249794","BID1T24","AMPLICON","METAGENOMIC","unspecified"
