"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX426150","saliva metagenome from celiac child12","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529714","","18.96","1","15641","8796113","","AMPLICON","METAGENOMIC","PCR"
"SRX426149","saliva metagenome from celiac child11","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529712","","16.65","1","13779","7763511","","AMPLICON","METAGENOMIC","PCR"
"SRX426148","saliva metagenome from celiac child9","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529713","","16.32","1","13387","7563132","","AMPLICON","METAGENOMIC","PCR"
"SRX426147","saliva metagenome from celiac child6","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529711","","14.58","1","12073","6753227","","AMPLICON","METAGENOMIC","PCR"
"SRX426146","saliva metagenome from celiac child1","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529710","","19.31","1","15812","8982820","","AMPLICON","METAGENOMIC","PCR"
"SRX426145","saliva metagenome from healthy child8","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529708","","18.96","1","15641","8796113","","AMPLICON","METAGENOMIC","PCR"
"SRX426144","saliva metagenome from healthy child6","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529709","","16.65","1","13779","7763511","","AMPLICON","METAGENOMIC","PCR"
"SRX426143","saliva metagenome from healthy child5","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529707","","0.85","1","685","371416","","AMPLICON","METAGENOMIC","PCR"
"SRX426142","saliva metagenome from healthy child4","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529706","","16.32","1","13387","7563132","","AMPLICON","METAGENOMIC","PCR"
"SRX426141","saliva metagenome from celiac child18","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529705","","14.58","1","12073","6753227","","AMPLICON","METAGENOMIC","PCR"
"SRX426140","saliva metagenome from celiac child17","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529704","","19.31","1","15812","8982820","","AMPLICON","METAGENOMIC","PCR"
"SRX426139","saliva metagenome from celiac child16","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529703","","4.6","1","3865","2129470","","AMPLICON","METAGENOMIC","PCR"
"SRX426138","saliva metagenome from celiac child15","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529702","","4.45","1","3777","2063932","","AMPLICON","METAGENOMIC","PCR"
"SRX426137","saliva metagenome from celiac child14","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529700","","3.96","1","3354","1832301","","AMPLICON","METAGENOMIC","PCR"
"SRX426136","saliva metagenome from celiac child13","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529701","","4.43","1","3626","2029682","","AMPLICON","METAGENOMIC","PCR"
"SRX426135","saliva metagenome from celiac child7","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529699","","5.09","1","4785","2214373","","AMPLICON","METAGENOMIC","PCR"
"SRX426134","saliva metagenome from healthy child19","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529697","","4.54","1","3850","2102713","","AMPLICON","METAGENOMIC","PCR"
"SRX426133","saliva metagenome from healthy child17","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529698","","4.54","1","3741","2056910","","AMPLICON","METAGENOMIC","PCR"
"SRX426132","saliva metagenome from healthy child16","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529696","","3.91","1","3311","1791273","","AMPLICON","METAGENOMIC","PCR"
"SRX426131","saliva metagenome from healthy child15","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529695","","3.94","1","3309","1807638","","AMPLICON","METAGENOMIC","PCR"
"SRX426130","saliva metagenome from healthy child14","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529694","","3.24","1","2736","1481380","","AMPLICON","METAGENOMIC","PCR"
"SRX426129","saliva metagenome from healthy child13","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529693","","3.72","1","3267","1723466","","AMPLICON","METAGENOMIC","PCR"
"SRX426128","saliva metagenome from healthy child12","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529692","","3.81","1","3268","1735604","","AMPLICON","METAGENOMIC","PCR"
"SRX426127","saliva metagenome from healthy child11","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529691","","2.83","1","2369","1283235","","AMPLICON","METAGENOMIC","PCR"
"SRX426126","saliva metagenome from healthy child10","human oral metagenome","454 GS Junior","Università di Napoli Federico II - Dipartimento di","SRP035361","Celiac children saliva Targeted Locus (Loci)","SRS529690","","3.31","1","2803","1518818","","AMPLICON","METAGENOMIC","PCR"
