"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"ERX2246600","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993309","","7","1","21727","10906954","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246599","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993308","","6.41","1","21243","10663986","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246598","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993307","","5.69","1","18343","9208186","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246597","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993306","","5.63","1","16712","8389424","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246596","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993305","","2.23","1","6510","3268020","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246595","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993304","","6.76","1","21097","10590694","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246594","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993303","","4.85","1","15247","7653994","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246593","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993302","","4.95","1","15729","7895958","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246592","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993301","","3.63","1","11589","5817678","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246591","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993300","","1.92","1","5859","2941218","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246590","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993299","","3.44","1","10534","5288068","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246589","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993298","","3.88","1","11967","6007434","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246588","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993297","","2.62","1","7927","3979354","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246587","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993296","","2.93","1","8745","4389990","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246586","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993295","","3.86","1","12005","6026510","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246585","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993294","","4.67","1","14510","7284020","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246584","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993293","","3.42","1","10706","5374412","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246583","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993292","","4.78","1","14513","7285526","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246582","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993291","","2.94","1","8853","4444206","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246581","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993290","","5.29","1","16821","8444142","unspecified","AMPLICON","SYNTHETIC","PCR"
"ERX2246580","Illumina MiSeq paired end sequencing","Homo sapiens","Illumina MiSeq","Nutrition & Health","ERP105056","This is a nested case-control study carried out as part of a larger prospective cohort study, which included healthy full-term newborns (> 200) with at least one first relative with biopsy-verified CD (Celiac Disease).","ERS1993289","","4.4","1","14356","7206712","unspecified","AMPLICON","SYNTHETIC","PCR"
