"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"ERX10953962","Illumina MiSeq sequencing; qiita_ptid_14691:15006.9SM1","human gut metagenome","Illumina MiSeq","University of California San Diego Microbiome Init","ERP148268","Celiac Disease and the microbiome","ERS15589326","","1.24","1","9231","2307081","15006.9SM1","AMPLICON","METAGENOMIC","PCR"
"ERX10953961","Illumina MiSeq sequencing; qiita_ptid_14691:15006.9SK1","human gut metagenome","Illumina MiSeq","University of California San Diego Microbiome Init","ERP148268","Celiac Disease and the microbiome","ERS15589325","","4.69","1","36995","9248212","15006.9SK1","AMPLICON","METAGENOMIC","PCR"
"ERX10953960","Illumina MiSeq sequencing; qiita_ptid_14691:15006.9M1","human gut metagenome","Illumina MiSeq","University of California San Diego Microbiome Init","ERP148268","Celiac Disease and the microbiome","ERS15589324","","2.56","1","19775","4942881","15006.9M1","AMPLICON","METAGENOMIC","PCR"
"ERX10953959","Illumina MiSeq sequencing; qiita_ptid_14691:15006.9F1","human gut metagenome","Illumina MiSeq","University of California San Diego Microbiome Init","ERP148268","Celiac Disease and the microbiome","ERS15589323","","5.39","1","39470","9874072","15006.9F1","AMPLICON","METAGENOMIC","PCR"
"ERX10953958","Illumina MiSeq sequencing; qiita_ptid_14691:15006.9C1","human gut metagenome","Illumina MiSeq","University of California San Diego Microbiome Init","ERP148268","Celiac Disease and the microbiome","ERS15589322","","5.51","1","43517","10876152","15006.9C1","AMPLICON","METAGENOMIC","PCR"
"ERX10953957","Illumina MiSeq sequencing; qiita_ptid_14691:15006.8S1","human gut metagenome","Illumina MiSeq","University of California San Diego Microbiome Init","ERP148268","Celiac Disease and the microbiome","ERS15589321","","2.35","1","18656","4664022","15006.8S1","AMPLICON","METAGENOMIC","PCR"
"ERX10953956","Illumina MiSeq sequencing; qiita_ptid_14691:15006.8M1","human gut metagenome","Illumina MiSeq","University of California San Diego Microbiome Init","ERP148268","Celiac Disease and the microbiome","ERS15589320","","4.51","1","34099","8521792","15006.8M1","AMPLICON","METAGENOMIC","PCR"
"ERX10953955","Illumina MiSeq sequencing; qiita_ptid_14691:15006.8F1","human gut metagenome","Illumina MiSeq","University of California San Diego Microbiome Init","ERP148268","Celiac Disease and the microbiome","ERS15589319","","2.63","1","20177","5042305","15006.8F1","AMPLICON","METAGENOMIC","PCR"
"ERX10953954","Illumina MiSeq sequencing; qiita_ptid_14691:15006.8C1","human gut metagenome","Illumina MiSeq","University of California San Diego Microbiome Init","ERP148268","Celiac Disease and the microbiome","ERS15589318","","1.68","1","12935","3233998","15006.8C1","AMPLICON","METAGENOMIC","PCR"
"ERX10953953","Illumina MiSeq sequencing; qiita_ptid_14691:15006.7M1","human gut metagenome","Illumina MiSeq","University of California San Diego Microbiome Init","ERP148268","Celiac Disease and the microbiome","ERS15589317","","2.45","1","18832","4705422","15006.7M1","AMPLICON","METAGENOMIC","PCR"
