"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX4449746","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588479","","100.3","1","240872","144736068","C2","AMPLICON","METAGENOMIC","PCR"
"SRX4449745","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588480","","120.24","1","292849","175866574","C15","AMPLICON","METAGENOMIC","PCR"
"SRX4449744","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588540","","50.93","1","123149","74016540","C1","AMPLICON","METAGENOMIC","PCR"
"SRX4449743","16S rRNA of human duodenal mucosa","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588478","","37.61","1","99596","56614927","D-CD13","AMPLICON","METAGENOMIC","PCR"
"SRX4449742","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588477","","128.17","1","307880","185034859","C4","AMPLICON","METAGENOMIC","PCR"
"SRX4449741","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588474","","124.55","1","307317","182801898","C17","AMPLICON","METAGENOMIC","PCR"
"SRX4449740","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588475","","113.16","1","272643","163468707","C16","AMPLICON","METAGENOMIC","PCR"
"SRX4449739","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588476","","131.46","1","316489","189888488","C3","AMPLICON","METAGENOMIC","PCR"
"SRX4449738","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588473","","146.37","1","359773","211093176","C6","AMPLICON","METAGENOMIC","PCR"
"SRX4449737","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588472","","108.88","1","268019","160897291","C5","AMPLICON","METAGENOMIC","PCR"
"SRX4449736","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588470","","132.13","1","327482","191288154","GFD9","AMPLICON","METAGENOMIC","PCR"
"SRX4449735","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588471","","136.06","1","331830","197765667","GFD8","AMPLICON","METAGENOMIC","PCR"
"SRX4449734","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588469","","64.05","1","152711","90868555","GFD21","AMPLICON","METAGENOMIC","PCR"
"SRX4449733","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588468","","71.57","1","171752","103280804","GFD20","AMPLICON","METAGENOMIC","PCR"
"SRX4449732","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588467","","132.29","1","319515","190199770","GFD7","AMPLICON","METAGENOMIC","PCR"
"SRX4449731","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588466","","120.08","1","289150","172908205","GFD6","AMPLICON","METAGENOMIC","PCR"
"SRX4449730","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588465","","93.41","1","235520","136249899","GFD1","AMPLICON","METAGENOMIC","PCR"
"SRX4449729","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588464","","30.74","1","76016","45569500","C20","AMPLICON","METAGENOMIC","PCR"
"SRX4449728","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588462","","29.93","1","71133","42743929","GFD22","AMPLICON","METAGENOMIC","PCR"
"SRX4449727","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588463","","114.29","1","270069","161995393","GFD3","AMPLICON","METAGENOMIC","PCR"
"SRX4449726","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588461","","143.39","1","354636","211577437","GFD2","AMPLICON","METAGENOMIC","PCR"
"SRX4449725","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588459","","140.13","1","339676","203799188","GFD5","AMPLICON","METAGENOMIC","PCR"
"SRX4449724","16S rRNA of human duodenal mucosa","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588460","","36.07","1","104596","52559202","D-CD11","AMPLICON","METAGENOMIC","PCR"
"SRX4449723","16S rRNA of human duodenal mucosa","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588458","","40.57","1","141726","60807626","D-CD12","AMPLICON","METAGENOMIC","PCR"
"SRX4449722","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588457","","60.68","1","154177","92550593","C18","AMPLICON","METAGENOMIC","PCR"
"SRX4449721","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588456","","40.42","1","102638","60915697","C19","AMPLICON","METAGENOMIC","PCR"
"SRX4449720","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588455","","30.92","1","77665","46680677","TF-CD13","AMPLICON","METAGENOMIC","PCR"
"SRX4449719","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588454","","48.04","1","119808","71772044","TF-CD14","AMPLICON","METAGENOMIC","PCR"
"SRX4449718","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588452","","44.85","1","111187","66822609","TF-CD11","AMPLICON","METAGENOMIC","PCR"
"SRX4449717","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588453","","30.99","1","79269","47651745","TF-CD12","AMPLICON","METAGENOMIC","PCR"
"SRX4449716","16S rRNA of human duodenal mucosa","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588449","","43.32","1","119738","64536307","D-CD4","AMPLICON","METAGENOMIC","PCR"
"SRX4449715","16S rRNA of human duodenal mucosa","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588451","","87.17","1","259168","127687594","D-CD5","AMPLICON","METAGENOMIC","PCR"
"SRX4449714","16S rRNA of human duodenal mucosa","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588450","","27.97","1","78413","40983775","D-CD2","AMPLICON","METAGENOMIC","PCR"
"SRX4449713","16S rRNA of human duodenal mucosa","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588448","","61.09","1","221253","91555055","D-CD3","AMPLICON","METAGENOMIC","PCR"
"SRX4449712","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588447","","127.88","1","319187","190255197","GFD16","AMPLICON","METAGENOMIC","PCR"
"SRX4449711","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588446","","148.71","1","360556","216163883","GFD17","AMPLICON","METAGENOMIC","PCR"
"SRX4449710","16S rRNA of human pharyngeal swab","human oral metagenome","Illumina MiSeq","CEINGE Biotecnologie Avanzate","SRP099185","human duodenal Metagenome","SRS3588445","","141.53","1","352539","207886077","GFD14","AMPLICON","METAGENOMIC","PCR"
