"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX17907326","celiac disease sample 10","metagenome","Illumina NovaSeq 6000","People's Hospital of Xinjiang Uygur Autonomous Reg","SRP402883","Characteristics of Gut Microbiota in Patients with Celiac Disease in Northwest China","SRS15424009","","21.25","1","141882","70898909","CD10","AMPLICON","METAGENOMIC","PCR"
"SRX17907325","celiac disease sample 9","metagenome","Illumina NovaSeq 6000","People's Hospital of Xinjiang Uygur Autonomous Reg","SRP402883","Characteristics of Gut Microbiota in Patients with Celiac Disease in Northwest China","SRS15424008","","15.79","1","105763","52868139","CD9","AMPLICON","METAGENOMIC","PCR"
"SRX17907324","celiac disease sample 8","metagenome","Illumina NovaSeq 6000","People's Hospital of Xinjiang Uygur Autonomous Reg","SRP402883","Characteristics of Gut Microbiota in Patients with Celiac Disease in Northwest China","SRS15424007","","17.03","1","113297","56637008","CD8","AMPLICON","METAGENOMIC","PCR"
"SRX17907323","celiac disease sample 7","metagenome","Illumina NovaSeq 6000","People's Hospital of Xinjiang Uygur Autonomous Reg","SRP402883","Characteristics of Gut Microbiota in Patients with Celiac Disease in Northwest China","SRS15424006","","20.8","1","133257","66613089","CD7","AMPLICON","METAGENOMIC","PCR"
"SRX17907322","healthy Control sample 30","metagenome","Illumina NovaSeq 6000","People's Hospital of Xinjiang Uygur Autonomous Reg","SRP402883","Characteristics of Gut Microbiota in Patients with Celiac Disease in Northwest China","SRS15424005","","27.71","1","186526","92996314","HC30","AMPLICON","METAGENOMIC","PCR"
"SRX17907321","healthy Control sample 29","metagenome","Illumina NovaSeq 6000","People's Hospital of Xinjiang Uygur Autonomous Reg","SRP402883","Characteristics of Gut Microbiota in Patients with Celiac Disease in Northwest China","SRS15424004","","26.18","1","174949","87342596","HC29","AMPLICON","METAGENOMIC","PCR"
"SRX17907320","healthy Control sample 28","metagenome","Illumina NovaSeq 6000","People's Hospital of Xinjiang Uygur Autonomous Reg","SRP402883","Characteristics of Gut Microbiota in Patients with Celiac Disease in Northwest China","SRS15424003","","9.85","1","66026","32878171","HC28","AMPLICON","METAGENOMIC","PCR"
"SRX17907319","healthy Control sample 27","metagenome","Illumina NovaSeq 6000","People's Hospital of Xinjiang Uygur Autonomous Reg","SRP402883","Characteristics of Gut Microbiota in Patients with Celiac Disease in Northwest China","SRS15424002","","26.59","1","177306","88581251","HC27","AMPLICON","METAGENOMIC","PCR"
"SRX17907318","healthy Control sample 26","metagenome","Illumina NovaSeq 6000","People's Hospital of Xinjiang Uygur Autonomous Reg","SRP402883","Characteristics of Gut Microbiota in Patients with Celiac Disease in Northwest China","SRS15424001","","24.91","1","167299","83578757","HC26","AMPLICON","METAGENOMIC","PCR"
"SRX17907317","healthy Control sample 25","metagenome","Illumina NovaSeq 6000","People's Hospital of Xinjiang Uygur Autonomous Reg","SRP402883","Characteristics of Gut Microbiota in Patients with Celiac Disease in Northwest China","SRS15424000","","25.43","1","170921","85459320","HC25","AMPLICON","METAGENOMIC","PCR"
"SRX17907316","healthy Control sample 24","metagenome","Illumina NovaSeq 6000","People's Hospital of Xinjiang Uygur Autonomous Reg","SRP402883","Characteristics of Gut Microbiota in Patients with Celiac Disease in Northwest China","SRS15423999","","14.25","1","93935","46852791","HC24","AMPLICON","METAGENOMIC","PCR"
