"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX1962199","saliva microbe HC010","human metagenome","Illumina MiSeq","Boston University","SRP078999","Microbiome 16S rRNA gene sequencing","SRS1572103","","14.11","1","70095","29597613","10","AMPLICON","METAGENOMIC","PCR"
"SRX1962198","saliva microbe HC009","human metagenome","Illumina MiSeq","Boston University","SRP078999","Microbiome 16S rRNA gene sequencing","SRS1572102","","9.88","1","49980","21092335","9","AMPLICON","METAGENOMIC","PCR"
"SRX1962197","saliva microbe HC008","human metagenome","Illumina MiSeq","Boston University","SRP078999","Microbiome 16S rRNA gene sequencing","SRS1572101","","16.13","1","82653","35129890","8","AMPLICON","METAGENOMIC","PCR"
"SRX1962196","saliva microbe RCD009","human metagenome","Illumina MiSeq","Boston University","SRP078999","Microbiome 16S rRNA gene sequencing","SRS1572100","","16.59","1","83365","35102070","62","AMPLICON","METAGENOMIC","PCR"
"SRX1962195","saliva microbe RCD008","human metagenome","Illumina MiSeq","Boston University","SRP078999","Microbiome 16S rRNA gene sequencing","SRS1572099","","11.99","1","61301","25895148","61","AMPLICON","METAGENOMIC","PCR"
"SRX1962194","saliva microbe HC007","human metagenome","Illumina MiSeq","Boston University","SRP078999","Microbiome 16S rRNA gene sequencing","SRS1572098","","7.46","1","37544","15548824","7","AMPLICON","METAGENOMIC","PCR"
"SRX1962193","saliva microbe RCD007","human metagenome","Illumina MiSeq","Boston University","SRP078999","Microbiome 16S rRNA gene sequencing","SRS1572097","","23.4","1","118212","49995452","60","AMPLICON","METAGENOMIC","PCR"
"SRX1962192","saliva microbe RCD006","human metagenome","Illumina MiSeq","Boston University","SRP078999","Microbiome 16S rRNA gene sequencing","SRS1572096","","30.86","1","154354","64806326","59","AMPLICON","METAGENOMIC","PCR"
"SRX1962191","saliva microbe RCD005","human metagenome","Illumina MiSeq","Boston University","SRP078999","Microbiome 16S rRNA gene sequencing","SRS1572095","","19.42","1","96866","40663742","58","AMPLICON","METAGENOMIC","PCR"
"SRX1962190","saliva microbe RCD004","human metagenome","Illumina MiSeq","Boston University","SRP078999","Microbiome 16S rRNA gene sequencing","SRS1572093","","9.06","1","46500","19620023","57","AMPLICON","METAGENOMIC","PCR"
"SRX1962189","saliva microbe RCD003","human metagenome","Illumina MiSeq","Boston University","SRP078999","Microbiome 16S rRNA gene sequencing","SRS1572094","","9.73","1","50446","21038854","56","AMPLICON","METAGENOMIC","PCR"
"SRX1962188","saliva microbe RCD002","human metagenome","Illumina MiSeq","Boston University","SRP078999","Microbiome 16S rRNA gene sequencing","SRS1572092","","8.29","1","41082","17202083","55","AMPLICON","METAGENOMIC","PCR"
"SRX1962187","saliva microbe RCD001","human metagenome","Illumina MiSeq","Boston University","SRP078999","Microbiome 16S rRNA gene sequencing","SRS1572091","","7.37","1","37095","15455649","54","AMPLICON","METAGENOMIC","PCR"
