"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX3164709","16S-Seq of Bacteria: Feces sensible gluten","Homo sapiens","Illumina MiSeq","Universidad Autonoma de Nuevo Leon","SRP116904","Remes-Troche Gluten sensitivity microbiota","SRS2495430","","10.15","1","117715","34167851","F1SEA","AMPLICON","METAGENOMIC","PCR"
"SRX3164708","16S-Seq of Bacteria: Feces sensible gluten-free","Homo sapiens","Illumina MiSeq","Universidad Autonoma de Nuevo Leon","SRP116904","Remes-Troche Gluten sensitivity microbiota","SRS2495429","","7.2","1","83223","24209209","F1SEB","AMPLICON","METAGENOMIC","PCR"
"SRX3164707","16S-Seq of Bacteria: Feces control gluten","Homo sapiens","Illumina MiSeq","Universidad Autonoma de Nuevo Leon","SRP116904","Remes-Troche Gluten sensitivity microbiota","SRS2495428","","15.71","1","181848","52763759","F27CRA","AMPLICON","METAGENOMIC","PCR"
"SRX3164706","16S-Seq of Bacteria: Feces sensible gluten-free","Homo sapiens","Illumina MiSeq","Universidad Autonoma de Nuevo Leon","SRP116904","Remes-Troche Gluten sensitivity microbiota","SRS2495427","","11.84","1","137387","39840346","F5SEB","AMPLICON","METAGENOMIC","PCR"
"SRX3164705","16S-Seq of Bacteria: Biopsy control gluten","Homo sapiens","Illumina MiSeq","Universidad Autonoma de Nuevo Leon","SRP116904","Remes-Troche Gluten sensitivity microbiota","SRS2495426","","1.46","1","16221","4692642","B28CRA","AMPLICON","METAGENOMIC","PCR"
"SRX3164704","16S-Seq of Bacteria: Biopsy control gluten-free","Homo sapiens","Illumina MiSeq","Universidad Autonoma de Nuevo Leon","SRP116904","Remes-Troche Gluten sensitivity microbiota","SRS2495425","","3.11","1","36579","10354283","B28CRB","AMPLICON","METAGENOMIC","PCR"
"SRX3164703","16S-Seq of Bacteria: Biopsy control gluten","Homo sapiens","Illumina MiSeq","Universidad Autonoma de Nuevo Leon","SRP116904","Remes-Troche Gluten sensitivity microbiota","SRS2495424","","7.68","1","89462","25831110","B21CRA","AMPLICON","METAGENOMIC","PCR"
"SRX3164702","16S-Seq of Bacteria: Biopsy control gluten-free","Homo sapiens","Illumina MiSeq","Universidad Autonoma de Nuevo Leon","SRP116904","Remes-Troche Gluten sensitivity microbiota","SRS2495423","","6.38","1","75288","21705289","B21CRB","AMPLICON","METAGENOMIC","PCR"
"SRX3164701","16S-Seq of Bacteria: Biopsy celiac gluten","Homo sapiens","Illumina MiSeq","Universidad Autonoma de Nuevo Leon","SRP116904","Remes-Troche Gluten sensitivity microbiota","SRS2495422","","9.56","1","111437","32318360","B20CLA","AMPLICON","METAGENOMIC","PCR"
"SRX3164700","16S-Seq of Bacteria: Biopsy celiac gluten-free","Homo sapiens","Illumina MiSeq","Universidad Autonoma de Nuevo Leon","SRP116904","Remes-Troche Gluten sensitivity microbiota","SRS2495421","","11.13","1","128970","37411818","B20CLB","AMPLICON","METAGENOMIC","PCR"
"SRX3164699","16S-Seq of Bacteria: Biopsy celiac gluten","Homo sapiens","Illumina MiSeq","Universidad Autonoma de Nuevo Leon","SRP116904","Remes-Troche Gluten sensitivity microbiota","SRS2495420","","9.47","1","110395","31888588","B19CLA","AMPLICON","METAGENOMIC","PCR"
