"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX18372069","Stool metagenomic sequencing Cii055","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858394","","3889.3","1","39706037","11898127054","Cii055","WGS","METAGENOMIC","RANDOM"
"SRX18372068","Stool metagenomic sequencing Cii054","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858393","","3222.89","1","35200546","10537094154","Cii054","WGS","METAGENOMIC","RANDOM"
"SRX18372067","Stool metagenomic sequencing Cii053","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858392","","3708.95","1","39299806","11765877750","Cii053","WGS","METAGENOMIC","RANDOM"
"SRX18372066","Stool metagenomic sequencing Cii052","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858391","","4756.21","1","51915841","15536659496","Cii052","WGS","METAGENOMIC","RANDOM"
"SRX18372065","Stool metagenomic sequencing Cii072","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858390","","2144.66","1","22793360","6697046559","Cii072","WGS","METAGENOMIC","RANDOM"
"SRX18372064","Stool metagenomic sequencing Cii071","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858389","","3774.96","1","39216690","11733585157","Cii071","WGS","METAGENOMIC","RANDOM"
"SRX18372063","Stool metagenomic sequencing Cii051","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858388","","2981.28","1","32079110","9599961274","Cii051","WGS","METAGENOMIC","RANDOM"
"SRX18372062","Stool metagenomic sequencing Cii050","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858387","","3264.61","1","36296174","10853187503","Cii050","WGS","METAGENOMIC","RANDOM"
"SRX18372061","Stool metagenomic sequencing Cii049","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858386","","4319.25","1","47472312","14207556427","Cii049","WGS","METAGENOMIC","RANDOM"
"SRX18372060","Stool metagenomic sequencing Cii046","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858385","","2648.78","1","29403690","8780548715","Cii046","WGS","METAGENOMIC","RANDOM"
"SRX18372059","Stool metagenomic sequencing Cii002","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858384","","5867.4","1","62561791","18627169436","Cii002","WGS","METAGENOMIC","RANDOM"
"SRX18372058","Stool metagenomic sequencing Cii045","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858383","","2849.31","1","30796592","9209397559","Cii045","WGS","METAGENOMIC","RANDOM"
"SRX18372057","Stool metagenomic sequencing CMa006","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858382","","3757.48","1","40924983","12235620716","CMa006","WGS","METAGENOMIC","RANDOM"
"SRX18372056","Stool metagenomic sequencing CMa010","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858381","","6214.76","1","65141241","19362472514","CMa010","WGS","METAGENOMIC","RANDOM"
"SRX18372055","Stool metagenomic sequencing CMa009","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858380","","3386.34","1","36148183","10759128468","CMa009","WGS","METAGENOMIC","RANDOM"
"SRX18372054","Stool metagenomic sequencing Cii044","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858379","","4270.46","1","46170443","13820281356","Cii044","WGS","METAGENOMIC","RANDOM"
"SRX18372053","Stool metagenomic sequencing Cii042","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858378","","3658.57","1","39611833","11848565193","Cii042","WGS","METAGENOMIC","RANDOM"
"SRX18372052","Stool metagenomic sequencing Cii041","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858377","","5792.17","1","62714706","18761727795","Cii041","WGS","METAGENOMIC","RANDOM"
"SRX18372051","Stool metagenomic sequencing Cii043","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858376","","10392.28","1","112241412","33544556806","Cii043","WGS","METAGENOMIC","RANDOM"
"SRX18372050","Stool metagenomic sequencing Cii040","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858375","","10145.64","1","104274307","31177007808","Cii040","WGS","METAGENOMIC","RANDOM"
"SRX18372049","Stool metagenomic sequencing Cii039","gut metagenome","Illumina NovaSeq 6000","University of Turin","SRP409586","Stool microbiome profiling of celiac disease patients on gluten-free diet","SRS15858374","","2831.97","1","30728164","9189204185","Cii039","WGS","METAGENOMIC","RANDOM"
