"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX21985577","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060804","","1940.97","1","20588843","6182050842","MARCO 054 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985576","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060801","","2669.89","1","27824058","8357105966","MARCO 054 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985575","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060800","","3038.03","1","31780395","9539974062","MARCO 053 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985574","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060798","","5979.79","1","62961289","18895990714","MARCO 053 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985573","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060797","","3219.71","1","33807045","10150285884","MARCO 052 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985572","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060796","","3843.17","1","40054671","12026252372","MARCO 052 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985571","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060799","","5095.77","1","53206262","15972448632","MARCO 004 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985570","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060794","","101.58","1","857438","258946128","MARCO 051 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985569","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060793","","457.44","1","3903759","1178593750","MARCO 051 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985568","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060795","","2803.66","1","29679119","8911703052","MARCO 050 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985567","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060789","","2603.79","1","26894449","8078299716","MARCO 046 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985566","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060791","","5270.18","1","56347163","16912076044","MARCO 046 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985565","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060792","","5804.61","1","59704159","17921440444","MARCO 045 V4","WGS","METAGENOMIC","size fractionation"
